order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
81,13,3,Chole Bhature,2023-06-06,13:08:30,Completed,403
82,30,33,Dal Makhani,2024-01-13,12:38:38,Completed,347
83,20,14,Chole Bhature,2023-01-27,14:36:43,Completed,586
84,13,10,Chole Bhature,2024-12-08,23:40:15,Completed,488
85,8,6,Pasta Alfredo,2024-06-29,16:42:23,Completed,698
86,22,2,Prawn Masala,2024-03-06,23:31:06,Completed,550
87,30,20,Paneer Lababdar,2023-06-30,21:33:41,Completed,731
88,31,60,Paneer Lababdar,2024-08-29,14:20:54,Completed,268
89,18,58,Burger,2024-04-20,19:39:42,Completed,524
90,2,64,Prawn Masala,2023-11-29,12:31:13,Completed,444
91,22,36,Samosa,2024-09-02,21:56:17,Completed,190
92,13,11,Burger,2024-02-21,17:35:48,Completed,667
93,32,58,Dal Makhani,2023-01-18,11:18:14,Completed,429
94,20,48,Butter Chicken,2024-07-20,18:22:27,Completed,518
95,23,59,Mutton Rogan Josh,2023-11-10,14:14:07,Completed,503
96,8,69,Dal Makhani,2024-12-07,12:12:13,Completed,463
97,19,13,Prawn Masala,2023-07-18,14:14:23,Completed,489
98,1,69,Masala Dosa,2023-10-08,10:03:35,Completed,309
99,32,14,Prawn Masala,2023-01-13,19:18:30,Completed,631
100,22,24,Chicken Biryani,2023-09-16,23:30:07,Completed,590
101,32,10,Chole Bhature,2024-10-06,20:03:09,Completed,491
102,6,32,Paneer Butter Masala,2024-07-25,22:26:38,Completed,411
103,25,58,Samosa,2024-03-29,14:55:37,Completed,492
104,4,13,Dal Makhani,2023-08-01,20:13:16,Completed,340
105,16,23,Hyderabadi Biryani,2023-03-18,12:00:26,Completed,661
106,19,5,Burger,2023-10-23,21:18:44,Completed,252
107,15,34,Dal Makhani,2024-10-02,19:42:51,Completed,615
108,8,70,Burger,2024-10-25,12:58:17,Completed,253
109,4,22,Dal Makhani,2023-11-11,19:47:52,Completed,475
110,29,16,Butter Chicken,2024-12-06,14:44:25,Completed,692
111,32,57,Paneer Butter Masala,2024-09-04,10:56:27,Completed,436
112,2,12,Burger,2024-11-21,23:55:36,Completed,201
113,18,6,Dal Makhani,2023-06-29,17:33:41,Completed,464
114,12,56,Fish Curry,2024-05-18,11:30:22,Completed,521
115,21,14,Prawn Masala,2023-06-14,15:26:44,Completed,475
116,26,71,Chicken Biryani,2024-04-10,11:20:16,Completed,298
117,26,66,Prawn Masala,2023-01-02,20:55:34,Completed,603
118,4,25,Hyderabadi Biryani,2024-01-06,19:48:31,Completed,232
119,14,35,Hyderabadi Biryani,2023-05-15,14:28:56,Completed,304
120,2,31,Egg Curry,2023-06-12,14:35:00,Completed,597
121,6,29,Prawn Masala,2023-04-27,17:07:41,Completed,690
122,19,66,Egg Curry,2023-10-07,16:53:30,Completed,429
123,30,71,Masala Dosa,2024-01-28,13:58:38,Completed,319
124,5,36,Dal Makhani,2024-02-29,15:59:50,Completed,453
125,1,37,Egg Curry,2023-11-02,23:37:37,Completed,332
126,29,69,Butter Chicken,2023-12-20,15:35:48,Completed,566
127,30,42,Prawn Masala,2023-07-13,21:15:36,Completed,419
128,27,6,Pasta Alfredo,2024-04-29,21:58:51,Completed,575
129,10,64,Chicken Biryani,2023-05-10,18:37:21,Completed,630
130,7,68,Samosa,2024-04-12,10:46:09,Completed,338
131,5,61,Dal Makhani,2023-09-29,15:39:44,Completed,262
132,22,69,Paneer Lababdar,2023-11-21,20:45:56,Completed,734
133,3,9,Burger,2024-10-08,20:58:18,Completed,272
134,28,13,Dal Makhani,2024-10-10,21:55:06,Completed,350
135,20,4,Chicken Biryani,2023-11-29,22:03:18,Completed,563
136,28,19,Burger,2024-06-27,16:36:43,Completed,354
137,12,11,Chole Bhature,2024-01-27,19:43:15,Completed,326
138,15,60,Fish Curry,2023-09-18,17:16:42,Completed,656
139,19,70,Masala Dosa,2023-03-17,17:22:37,Completed,614
140,17,59,Prawn Masala,2023-11-06,13:24:54,Completed,289
141,16,49,Chole Bhature,2024-01-03,19:18:44,Completed,202
142,26,36,Chicken Biryani,2024-08-02,23:43:49,Completed,688
143,19,30,Chole Bhature,2023-12-27,13:40:12,Completed,436
144,9,13,Samosa,2024-10-04,20:02:19,Completed,214
145,24,17,Paneer Butter Masala,2023-10-30,15:47:26,Completed,385
146,9,70,Samosa,2024-01-10,18:32:58,Completed,348
147,17,62,Dal Makhani,2023-10-30,21:55:21,Completed,659
148,5,19,Dal Makhani,2023-08-20,23:43:46,Completed,750
149,24,12,Dal Makhani,2024-02-09,10:16:34,Completed,645
150,24,34,Chole Bhature,2024-01-26,23:40:23,Completed,419
151,31,4,Chole Bhature,2024-07-28,15:58:39,Completed,244
152,30,39,Fish Curry,2024-02-23,11:08:02,Completed,491
153,32,15,Paneer Butter Masala,2023-08-29,18:08:24,Completed,559
154,27,20,Samosa,2024-02-29,20:06:53,Completed,597
155,18,5,Egg Curry,2024-01-15,13:28:28,Completed,551
156,7,48,Hyderabadi Biryani,2024-10-22,15:03:25,Completed,374
157,8,59,Paneer Butter Masala,2024-11-09,13:41:40,Completed,201
158,4,43,Burger,2023-05-09,22:36:13,Completed,747
159,14,28,Prawn Masala,2023-08-27,15:49:09,Completed,182
160,18,19,Masala Dosa,2024-07-07,14:51:11,Completed,206
161,9,2,Pasta Alfredo,2023-09-01,19:20:01,Completed,451
162,4,17,Egg Curry,2024-03-07,18:07:47,Completed,667
163,29,47,Hyderabadi Biryani,2024-08-30,11:28:32,Completed,224
164,20,59,Fish Curry,2023-02-01,10:30:54,Completed,616
165,7,63,Egg Curry,2024-03-30,11:57:05,Completed,331
166,5,17,Mutton Rogan Josh,2024-10-01,20:37:35,Completed,570
167,19,59,Hyderabadi Biryani,2024-09-11,16:06:50,Completed,744
168,14,56,Butter Chicken,2023-08-22,16:21:52,Completed,588
169,27,13,Pasta Alfredo,2024-03-13,15:42:16,Completed,336
170,31,9,Paneer Butter Masala,2023-03-29,11:27:06,Completed,313
171,4,43,Fish Curry,2023-05-06,16:22:55,Completed,232
172,19,40,Pasta Alfredo,2023-04-17,19:32:13,Completed,673
173,15,14,Pasta Alfredo,2024-07-23,15:07:48,Completed,411
174,28,4,Chole Bhature,2024-11-04,23:44:17,Completed,364
175,18,40,Samosa,2023-12-14,15:00:11,Completed,590
176,5,19,Egg Curry,2024-10-10,10:05:47,Completed,400
177,25,54,Butter Chicken,2023-12-16,12:23:19,Completed,266
178,4,20,Masala Dosa,2024-09-24,10:43:05,Completed,633
179,28,63,Chole Bhature,2024-03-28,16:17:13,Completed,296
180,23,56,Paneer Butter Masala,2023-10-18,20:43:37,Completed,719
181,20,6,Burger,2024-02-09,19:03:00,Completed,488
182,14,18,Dal Makhani,2023-09-19,14:20:07,Completed,689
183,28,23,Masala Dosa,2024-01-25,18:45:14,Completed,542
184,5,51,Prawn Masala,2023-02-13,16:01:29,Completed,500
185,28,52,Egg Curry,2024-10-17,16:18:07,Completed,201
186,21,22,Dal Makhani,2024-09-24,17:53:44,Completed,270
187,28,14,Burger,2024-03-22,19:25:33,Completed,585
188,20,44,Burger,2023-12-08,22:10:04,Completed,296
189,33,25,Samosa,2023-12-24,15:46:52,Completed,421
190,7,19,Mutton Rogan Josh,2023-07-22,12:38:09,Completed,361
191,32,60,Dal Makhani,2024-07-31,22:37:28,Completed,510
192,21,20,Butter Chicken,2023-03-11,17:28:40,Completed,461
193,4,46,Hyderabadi Biryani,2023-03-17,14:29:28,Completed,238
194,24,37,Paneer Butter Masala,2024-10-22,23:54:05,Completed,699
195,25,60,Chole Bhature,2024-07-21,22:47:57,Completed,640
196,13,42,Chole Bhature,2024-05-02,18:09:03,Completed,285
197,22,11,Hyderabadi Biryani,2024-10-23,12:02:15,Completed,629
198,11,47,Pasta Alfredo,2023-10-17,16:26:49,Completed,233
199,22,9,Pasta Alfredo,2023-04-07,18:43:24,Completed,438
200,10,43,Paneer Butter Masala,2024-08-19,20:09:58,Completed,497
201,26,17,Chole Bhature,2024-12-26,11:19:35,Completed,516
202,9,68,Paneer Butter Masala,2024-10-23,20:27:32,Completed,198
203,24,40,Masala Dosa,2023-08-08,15:49:31,Completed,411
204,9,20,Paneer Butter Masala,2023-10-30,23:50:06,Completed,732
205,3,44,Samosa,2024-09-24,12:38:24,Completed,346
206,12,22,Egg Curry,2024-03-24,10:26:23,Completed,634
207,19,58,Burger,2024-06-30,13:19:51,Completed,378
208,24,57,Butter Chicken,2023-10-16,22:24:32,Completed,608
209,11,26,Dal Makhani,2024-09-11,12:55:16,Completed,672
210,24,71,Samosa,2023-04-16,21:54:33,Completed,471
211,6,21,Mutton Rogan Josh,2024-04-05,18:09:53,Completed,273
212,15,58,Samosa,2023-12-24,10:26:03,Completed,694
213,24,31,Paneer Lababdar,2023-03-25,15:14:01,Completed,281
214,22,19,Masala Dosa,2023-02-09,14:58:53,Completed,322
215,31,58,Chole Bhature,2023-01-06,11:01:16,Completed,333
216,28,15,Dal Makhani,2023-10-23,13:19:07,Completed,424
217,27,59,Paneer Butter Masala,2023-04-24,23:57:31,Completed,728
218,2,66,Chole Bhature,2023-09-05,21:09:18,Completed,181
219,23,31,Chole Bhature,2024-03-02,12:42:42,Completed,716
220,24,9,Hyderabadi Biryani,2024-07-11,18:50:32,Completed,200
221,25,61,Chicken Biryani,2024-10-12,16:23:16,Completed,545
222,5,45,Burger,2024-11-03,20:06:49,Completed,520
223,9,6,Pasta Alfredo,2024-07-13,15:52:41,Completed,655
224,31,24,Dal Makhani,2023-05-19,11:45:49,Completed,217
225,19,26,Chicken Biryani,2023-07-24,10:20:59,Completed,707
226,26,70,Butter Chicken,2023-09-17,10:48:41,Completed,472
227,23,7,Prawn Masala,2024-11-02,15:17:07,Completed,627
228,26,57,Samosa,2024-01-31,15:11:31,Completed,556
229,18,11,Egg Curry,2024-03-10,11:27:38,Completed,738
230,19,42,Paneer Butter Masala,2023-03-23,15:42:18,Completed,636
231,28,22,Egg Curry,2024-03-30,15:28:02,Completed,625
232,18,8,Paneer Butter Masala,2024-11-18,20:25:23,Completed,343
233,2,19,Prawn Masala,2024-09-14,20:50:28,Completed,309
234,5,31,Dal Makhani,2024-10-22,15:23:24,Completed,213
235,10,58,Pasta Alfredo,2024-01-16,17:48:04,Completed,320
236,24,51,Pasta Alfredo,2024-10-27,14:15:07,Completed,370
237,32,67,Paneer Lababdar,2024-07-29,11:16:49,Completed,636
238,14,37,Egg Curry,2024-05-17,13:07:08,Completed,642
239,12,57,Paneer Butter Masala,2024-11-29,23:20:42,Completed,246
240,19,39,Prawn Masala,2023-06-11,21:45:59,Completed,550
241,33,29,Paneer Butter Masala,2023-07-25,22:08:15,Completed,206
242,24,71,Chole Bhature,2024-01-13,17:51:35,Completed,268
243,5,40,Paneer Lababdar,2024-05-05,18:26:49,Completed,255
244,9,41,Fish Curry,2023-03-17,17:29:43,Completed,532
245,9,71,Fish Curry,2024-08-24,12:49:08,Completed,694
246,4,16,Hyderabadi Biryani,2023-06-06,14:10:10,Completed,410
247,23,67,Samosa,2023-10-18,23:05:16,Completed,744
248,18,17,Fish Curry,2023-11-07,19:34:05,Completed,352
249,10,22,Fish Curry,2024-10-01,21:57:38,Completed,222
250,2,11,Chicken Biryani,2024-10-18,22:36:16,Completed,606
251,2,64,Samosa,2024-10-04,18:18:41,Completed,674
252,16,52,Mutton Rogan Josh,2024-04-09,11:44:03,Completed,630
253,27,62,Butter Chicken,2023-07-28,15:38:09,Completed,506
254,23,52,Masala Dosa,2024-01-15,18:35:06,Completed,427
255,30,16,Mutton Rogan Josh,2024-04-05,13:09:06,Completed,477
256,25,54,Burger,2023-06-13,23:20:59,Completed,500
257,13,21,Butter Chicken,2024-06-11,17:31:56,Completed,689
258,2,12,Paneer Lababdar,2024-06-01,17:15:13,Completed,541
259,4,7,Mutton Rogan Josh,2024-05-21,19:56:53,Completed,472
260,1,14,Paneer Lababdar,2023-05-18,14:46:23,Completed,554
261,3,52,Chicken Biryani,2024-08-06,18:12:23,Completed,475
262,5,50,Hyderabadi Biryani,2024-04-06,22:35:17,Completed,301
263,9,13,Paneer Lababdar,2024-01-18,22:21:35,Completed,327
264,13,66,Paneer Lababdar,2024-05-27,10:02:02,Completed,521
265,31,67,Butter Chicken,2023-06-02,19:57:32,Completed,515
266,21,21,Paneer Lababdar,2024-09-23,21:53:19,Completed,524
267,33,66,Hyderabadi Biryani,2024-05-16,21:36:19,Completed,197
268,24,43,Fish Curry,2023-04-23,16:37:19,Completed,665
269,17,30,Egg Curry,2023-02-22,19:30:10,Completed,569
270,10,32,Chicken Biryani,2024-08-09,21:07:12,Completed,631
271,21,54,Masala Dosa,2024-02-27,21:13:26,Completed,662
272,4,18,Hyderabadi Biryani,2023-08-01,18:20:42,Completed,718
273,25,41,Masala Dosa,2024-04-15,18:21:34,Completed,450
274,31,25,Burger,2023-10-13,18:19:14,Completed,475
275,14,63,Pasta Alfredo,2024-05-06,15:35:59,Completed,474
276,8,70,Paneer Lababdar,2024-02-09,23:22:49,Completed,477
277,3,37,Egg Curry,2023-03-22,15:59:28,Completed,670
278,14,26,Prawn Masala,2024-07-05,14:59:35,Completed,320
279,7,31,Burger,2023-02-21,20:57:33,Completed,418
280,4,13,Paneer Lababdar,2023-12-05,21:30:06,Completed,185
281,11,53,Fish Curry,2024-05-02,17:41:12,Completed,508
282,19,8,Samosa,2023-04-02,20:36:14,Completed,218
283,12,54,Samosa,2023-06-30,10:53:25,Completed,370
284,19,5,Chicken Biryani,2023-11-02,19:38:06,Completed,471
285,30,70,Hyderabadi Biryani,2024-05-20,12:54:32,Completed,459
286,13,15,Pasta Alfredo,2023-06-16,21:29:41,Completed,370
287,1,44,Dal Makhani,2023-10-30,19:43:48,Completed,359
288,26,55,Hyderabadi Biryani,2023-12-02,11:25:42,Completed,369
289,9,62,Pasta Alfredo,2023-09-12,10:16:24,Completed,637
290,18,43,Mutton Rogan Josh,2024-08-19,21:36:00,Completed,548
291,16,8,Fish Curry,2023-05-02,17:19:10,Completed,694
292,20,16,Fish Curry,2023-10-30,15:39:14,Completed,316
293,31,20,Butter Chicken,2024-09-12,15:26:44,Completed,662
294,14,32,Fish Curry,2024-09-02,23:50:05,Completed,637
295,24,10,Samosa,2024-07-31,11:03:53,Completed,697
296,13,69,Masala Dosa,2023-06-18,15:54:33,Completed,299
297,14,63,Paneer Butter Masala,2024-06-06,17:51:03,Completed,315
298,33,54,Butter Chicken,2024-07-31,10:35:29,Completed,202
299,26,33,Prawn Masala,2023-01-04,21:13:37,Completed,226
300,28,45,Egg Curry,2023-03-07,18:03:59,Completed,663
301,3,37,Paneer Lababdar,2023-07-04,22:08:49,Completed,563
302,25,58,Prawn Masala,2024-01-22,16:05:43,Completed,316
303,23,16,Masala Dosa,2024-07-04,16:33:08,Completed,183
304,2,39,Butter Chicken,2024-11-20,21:34:27,Completed,568
305,15,32,Butter Chicken,2023-12-21,12:17:12,Completed,212
306,27,3,Burger,2023-07-31,11:06:38,Completed,637
307,4,32,Egg Curry,2023-02-15,16:28:14,Completed,402
308,4,18,Hyderabadi Biryani,2023-10-24,13:52:58,Completed,506
309,21,31,Mutton Rogan Josh,2023-05-27,20:33:14,Completed,487
310,18,8,Hyderabadi Biryani,2024-08-28,21:58:11,Completed,749
311,32,7,Pasta Alfredo,2024-10-20,20:24:50,Completed,506
312,27,53,Masala Dosa,2023-11-04,16:11:48,Completed,664
313,16,29,Mutton Rogan Josh,2024-12-25,12:51:29,Completed,602
314,27,68,Masala Dosa,2024-02-02,13:16:13,Completed,260
315,29,48,Paneer Butter Masala,2024-07-02,21:53:12,Completed,454
316,25,6,Prawn Masala,2023-03-16,13:51:48,Completed,402
317,31,27,Prawn Masala,2023-12-07,14:58:00,Completed,374
318,8,62,Samosa,2023-09-06,21:38:45,Completed,586
319,16,71,Pasta Alfredo,2023-10-17,16:29:34,Completed,495
320,17,47,Hyderabadi Biryani,2024-05-24,17:06:51,Completed,507
321,14,48,Pasta Alfredo,2024-02-28,10:36:55,Completed,329
322,2,34,Hyderabadi Biryani,2024-08-21,19:46:26,Completed,336
323,13,43,Burger,2024-01-24,19:53:15,Completed,743
324,22,33,Dal Makhani,2024-05-15,21:41:47,Completed,651
325,11,46,Masala Dosa,2023-05-24,21:34:31,Completed,735
326,4,68,Chicken Biryani,2023-03-18,23:42:03,Completed,602
327,9,30,Paneer Butter Masala,2024-12-25,12:00:13,Completed,646
328,24,8,Chole Bhature,2024-10-15,20:59:39,Completed,679
329,2,1,Hyderabadi Biryani,2024-07-18,16:00:01,Completed,461
330,19,3,Hyderabadi Biryani,2024-12-15,20:27:51,Completed,289
331,7,68,Masala Dosa,2023-09-04,13:39:33,Completed,542
332,18,51,Paneer Butter Masala,2024-01-18,16:29:36,Completed,411
333,20,11,Fish Curry,2024-10-27,22:02:05,Completed,568
334,25,71,Butter Chicken,2023-02-27,20:00:44,Completed,264
335,32,56,Fish Curry,2023-12-06,19:54:06,Completed,223
336,15,28,Samosa,2024-12-09,19:30:17,Completed,256
337,18,70,Chole Bhature,2024-11-04,10:11:59,Completed,196
338,14,19,Dal Makhani,2024-12-30,23:25:59,Completed,486
339,11,31,Chole Bhature,2024-02-03,20:57:34,Completed,573
340,9,11,Hyderabadi Biryani,2023-12-21,10:06:27,Completed,257
341,22,51,Dal Makhani,2023-12-01,10:40:17,Completed,682
342,15,46,Hyderabadi Biryani,2024-01-20,16:11:43,Completed,569
343,6,38,Dal Makhani,2023-09-10,21:04:05,Completed,337
344,25,20,Egg Curry,2024-02-03,15:23:06,Completed,185
345,20,57,Pasta Alfredo,2023-10-04,11:08:05,Completed,621
346,29,66,Paneer Lababdar,2023-04-16,10:05:22,Completed,275
347,21,50,Chicken Biryani,2023-10-26,16:24:49,Completed,428
348,11,49,Masala Dosa,2023-05-23,14:19:17,Completed,329
349,5,22,Paneer Lababdar,2023-10-10,16:19:30,Completed,549
350,17,32,Egg Curry,2024-10-02,17:38:39,Completed,648
351,7,18,Mutton Rogan Josh,2023-01-07,16:21:53,Completed,569
352,22,57,Pasta Alfredo,2024-03-16,23:52:55,Completed,319
353,20,42,Chole Bhature,2024-12-12,13:30:20,Completed,587
354,21,38,Egg Curry,2024-12-12,20:31:36,Completed,513
355,25,36,Prawn Masala,2024-02-07,15:07:59,Completed,384
356,12,71,Chicken Biryani,2024-04-17,21:13:28,Completed,250
357,27,64,Masala Dosa,2024-10-10,14:15:16,Completed,613
358,25,10,Butter Chicken,2024-09-04,17:37:25,Completed,698
359,27,70,Chicken Biryani,2024-01-04,21:57:51,Completed,267
360,7,32,Fish Curry,2024-11-11,15:10:41,Completed,225
361,26,43,Dal Makhani,2024-03-16,11:00:06,Completed,407
362,33,67,Hyderabadi Biryani,2024-08-17,21:36:14,Completed,563
363,26,60,Dal Makhani,2024-11-26,19:44:32,Completed,533
364,2,62,Paneer Butter Masala,2023-10-30,16:58:05,Completed,325
365,23,40,Pasta Alfredo,2024-04-11,22:13:33,Completed,536
366,31,13,Butter Chicken,2024-12-14,17:20:04,Completed,225
367,8,3,Prawn Masala,2023-12-18,20:06:43,Completed,429
368,12,71,Masala Dosa,2023-12-05,18:27:29,Completed,594
369,12,24,Fish Curry,2024-11-04,16:25:01,Completed,382
370,29,55,Paneer Lababdar,2023-01-05,21:13:13,Completed,244
371,7,69,Masala Dosa,2024-01-10,15:12:29,Completed,448
372,32,68,Fish Curry,2023-11-17,19:24:39,Completed,296
373,23,46,Prawn Masala,2024-04-13,19:11:52,Completed,266
374,9,41,Paneer Butter Masala,2023-09-02,14:07:11,Completed,324
375,33,50,Paneer Lababdar,2024-09-02,12:36:24,Completed,370
376,32,69,Egg Curry,2024-10-22,12:35:10,Completed,475
377,9,24,Pasta Alfredo,2024-04-06,19:03:55,Completed,189
378,32,18,Burger,2024-01-29,18:32:41,Completed,598
379,32,54,Egg Curry,2024-03-30,17:10:05,Completed,211
380,15,38,Chicken Biryani,2023-10-09,13:34:18,Completed,648
381,32,71,Hyderabadi Biryani,2023-04-26,19:07:17,Completed,555
382,3,57,Hyderabadi Biryani,2023-08-12,16:06:47,Completed,484
383,3,58,Mutton Rogan Josh,2023-12-23,23:52:05,Completed,300
384,16,27,Dal Makhani,2024-08-25,21:22:55,Completed,618
385,11,18,Dal Makhani,2023-07-31,23:13:51,Completed,539
386,18,69,Masala Dosa,2023-11-28,21:18:18,Completed,453
387,33,13,Masala Dosa,2024-02-26,10:17:55,Completed,315
388,16,19,Egg Curry,2023-11-26,23:15:48,Completed,681
389,10,35,Fish Curry,2024-02-29,16:28:04,Completed,592
390,33,36,Egg Curry,2024-01-13,17:31:20,Completed,182
391,6,59,Fish Curry,2024-11-11,21:22:54,Completed,727
392,26,28,Paneer Lababdar,2023-08-05,17:17:20,Completed,525
393,9,63,Dal Makhani,2023-12-18,20:48:03,Completed,281
394,30,3,Paneer Butter Masala,2023-06-11,17:29:00,Completed,387
395,9,39,Masala Dosa,2023-10-08,11:41:23,Completed,264
396,24,22,Chicken Biryani,2024-02-10,20:19:46,Completed,619
397,6,13,Chicken Biryani,2023-08-07,17:04:08,Completed,411
398,29,2,Chicken Biryani,2024-12-13,15:52:07,Completed,315
399,31,10,Burger,2024-01-28,11:46:51,Completed,285
400,21,48,Samosa,2023-11-03,12:24:49,Completed,326
401,5,68,Chole Bhature,2023-01-09,19:41:10,Completed,539
402,14,20,Samosa,2024-02-26,19:43:28,Completed,268
403,7,18,Dal Makhani,2023-05-07,19:46:24,Completed,619
404,21,18,Burger,2023-10-11,20:05:15,Completed,471
405,2,39,Burger,2024-06-14,19:32:12,Completed,482
406,4,31,Butter Chicken,2024-01-31,11:15:31,Completed,252
407,1,47,Samosa,2023-11-21,12:24:55,Completed,610
408,24,70,Fish Curry,2023-06-26,22:30:49,Completed,197
409,5,2,Mutton Rogan Josh,2023-08-09,10:59:03,Completed,698
410,19,65,Dal Makhani,2024-03-01,16:44:25,Completed,729
411,10,36,Paneer Butter Masala,2023-11-14,11:32:58,Completed,339
412,21,51,Chole Bhature,2024-10-11,22:53:41,Completed,497
413,28,31,Chicken Biryani,2023-09-08,11:59:27,Completed,644
414,4,40,Fish Curry,2024-11-04,21:11:07,Completed,320
415,1,21,Butter Chicken,2023-12-22,18:33:50,Completed,350
416,24,17,Egg Curry,2023-10-03,21:56:07,Completed,523
417,28,35,Hyderabadi Biryani,2023-03-07,14:45:36,Completed,688
